listing_ID,town,est_rental_revenue_median,estimated_ADR,Est_adj_occupancy,active_days,booking_window,length_of_stay,dynamic_pricing,min_stay,management,Bedrooms,bathrooms,max_guests,listed_price,is_active,economic_Category,blocked_days,rating,Num_Reviews,beachfront,hot_tub,EV_charger,kitchen,pool,pets_allowed,smoking_allowed
1214640936099353435,Southend-on-sea,12513,133.12,40,233,20,3,Low,2,Small,3,1.5,8,156,Yes,Midscale,43,4.13,8,No,No,No,Yes,No,Yes,No
784694575577197131,Southend-on-sea,12746,135.6,71,132,117,11,Low,2,Individual,3,1.5,8,166,No,Midscale,142,4.45,20,No,No,No,Yes,No,No,No
1290433941814962466,Southend-on-sea,12790,125.39,60,169,28,3,Low,1,Individual,3,1.5,6,108,Yes,Midscale,13,4.48,21,No,No,No,Yes,No,Yes,No
1239041113699602373,Southend-on-sea,13691,100.67,88,154,42,12,Moderate,4,Small,3,2.5,6,132,Yes,Midscale,93,5,7,No,No,No,Yes,No,No,No
1111705351328205269,Southend-on-sea,13709,71.4,78,247,31,17,None,2,Individual,3,1,5,98,No,Midscale,40,4.33,3,No,No,No,Yes,No,No,No
27669591,Southend-on-sea,13904,111.24,39,324,4,7,None,1,Large,3,1,5,118,Yes,Midscale,42,4.52,52,No,No,No,Yes,No,No,No
1113215897467461291,Southend-on-sea,13909,106.99,42,309,9,9,Moderate,4,Small,3,1,5,148,Yes,Midscale,57,5,2,No,No,No,Yes,No,No,No
1097593135453171567,Southend-on-sea,14978,118.88,39,321,7,5,None,1,Small,3,1,6,184,Yes,Midscale,45,3.5,2,No,No,No,Yes,No,No,No
929520907518760727,Southend-on-sea,15158,137.8,69,159,36,6,High,2,Moderate,3,2,6,149,No,Midscale,32,4.48,21,No,Yes,No,Yes,No,Yes,No
54314972,Southend-on-sea,15339,106.52,52,276,124,29,None,1,Small,3,1.5,6,140,Yes,Midscale,66,3.67,6,No,No,No,Yes,No,No,No
39161407,Southend-on-sea,15417,96.96,45,350,12,7,Low,5,Small,3,1.5,5,131,Yes,Midscale,16,5,34,No,No,No,Yes,No,No,No
824454005511957906,Southend-on-sea,15562,144.09,46,234,122,14,None,1,Individual,3,1.5,6,210,No,Upscale,66,5,3,No,No,No,Yes,No,No,No
972181817410903933,Southend-on-sea,15815,116.28,43,317,35,5,Low,1,Small,3,1.5,6,166,Yes,Midscale,49,4.33,3,No,No,No,Yes,No,No,No
587005169908649164,Southend-on-sea,15880,135.73,44,267,17,17,None,2,Individual,3,2,5,175,Yes,Midscale,9,5,41,No,No,No,Yes,No,Yes,No
885346016159738647,Southend-on-sea,17572,161.21,43,253,24,11,Moderate,3,Moderate,3,1.5,6,164,Yes,Upscale,113,5,1,No,No,No,Yes,No,No,No
1124689799190889433,Southend-on-sea,17687,116.36,60,254,17,9,Low,4,Moderate,3,1.5,6,156,No,Midscale,29,4.75,0,No,No,No,Yes,No,No,No
1003021426156287305,Southend-on-sea,18057,138.9,78,167,9,13,High,2,Moderate,3,1,5,172,No,Midscale,114,4.6,5,No,No,No,Yes,No,Yes,No
1111038372856871913,Southend-on-sea,18119,130.35,41,337,13,6,None,1,Small,3,1.5,8,181,Yes,Midscale,29,1,1,No,No,No,No,No,No,No
861288891878810848,Southend-on-sea,18228,134.03,47,288,17,8,High,3,Moderate,3,1,6,136,Yes,Midscale,78,4.92,12,No,No,No,Yes,No,No,No
658535688737691435,Southend-on-sea,18452,139.79,100,132,83,12,Low,2,Individual,3,1,4,159,No,Upscale,17,5,45,No,No,No,Yes,No,No,No
51239625,Southend-on-sea,18621,81.32,65,355,27,17,Low,3,Small,3,1,5,99,Yes,Midscale,11,4.69,32,No,No,No,Yes,No,Yes,No
1100545502634426305,Southend-on-sea,18779,114.5,65,251,14,11,High,3,Moderate,3,1,5,155,Yes,Midscale,115,3,2,No,No,No,Yes,No,No,No
53304813,Southend-on-sea,19407,262.25,88,84,27,27,High,2,Large,3,1.5,7,170,No,Upscale,171,4.14,14,No,No,No,Yes,No,No,No
1001883917434512541,Southend-on-sea,20128,184.66,92,118,22,20,None,2,Individual,3,2.5,8,238,Yes,Upscale,11,4.88,8,No,No,No,Yes,No,No,No
42859259,Southend-on-sea,20165,98.37,60,342,13,13,None,10,Individual,3,1.5,4,128,Yes,Midscale,24,5,44,No,No,No,Yes,No,No,No
